site_code	native	demographics	genetics	round	n_gt	country	c_code	location	region	latitude	longitude	coordinator	elevation	mt	st	ap	sp	mm	sm	Vcov	Bground	Vheight	management	Y0_plt_m2	Y1_plt_m2	Y2_plt_m2	Y0_ros_m2	Y1_ros_m2	Y2_ros_m2	emp_pgr_plt	emp_pgr_ros	ros_prop_fl	ros_mean_reprod	ros_mean_reprod_sc	ros_reprod_m2	ros_reprod_sc_m2	plt_prop_fl	plt_mean_reprod	plt_mean_reprod_sc	plt_reprod_m2	plt_reprod_sc_m2
HU	native	Y	Y	1	9	Hungary	HU	Keszthely	Europe	46.749300	17.237340	Bodis	124	10.43	7.65	622.00	35.35	0.7734	0.2151	92.50	0.25	29.13	m	189.33	190.67	NA	385.33	358.67	NA	0.01	-0.07	0.70	23.83	0.15	9278.67	58.30	0.88	47.99	0.30	9278.67	58.30
IO	native	Y	Y	1	9	Ireland	IE	InisOirr	Europe	53.057060	-9.516720	Csergo_Buckley	39	9.94	3.56	1267.83	25.00	1.1116	0.0719	100.00	0.50	12.50	n	100.00	104.00	NA	162.00	167.00	NA	0.04	0.03	0.27	4.33	0.03	714.00	5.22	0.33	7.07	0.05	714.00	5.22
JE	native	Y	Y	1	9	Germany	DE	Jena	Europe	50.951920	11.622820	Roscher_Roeder	138	9.57	6.63	581.33	23.86	0.8252	0.1658	85.83	8.17	1.58	m	66.67	73.33	NA	99.33	100.00	NA	0.10	0.01	0.24	5.62	0.06	558.00	5.64	0.31	8.37	0.08	558.00	5.64
KM	native	Y	Y	1	9	Estonia	EE	Kyynimts	Europe	57.734930	26.533140	Kull	88	5.52	8.24	647.25	32.05	0.8878	0.1705	47.50	0.00	13.75	m	65.00	64.00	NA	90.00	76.00	NA	-0.02	-0.17	0.12	1.29	0.01	211.00	1.25	0.13	1.66	0.01	211.00	1.25
LK1	native	Y	Y	2	8	UK	GB	Sheffield	Europe	53.192433	-1.762361	SalgueroGomez_Childs	254	8.07	4.54	1010.33	16.26	1.0606	0.0879	98.89	1.11	0.00	n	68.00	41.00	NA	70.67	42.00	NA	-0.51	-0.52	0.35	4.39	0.07	307.33	4.76	0.35	4.52	0.07	307.33	4.76
MN	native	Y	Y	2	8	UK	GB	Brearly	Europe	53.379820	-2.216060	Brearley	60	9.55	4.49	810.17	17.62	0.9976	0.1181	100.00	0.00	10.00	m	101.00	89.00	NA	105.00	95.00	NA	-0.13	-0.10	0.01	0.13	0.00	14.00	0.05	0.01	0.14	0.00	14.00	0.05
OR_SS	native	Y	Y	1	9	Sweden	SE	Stockholm	Europe	59.269244	18.101127	Rasmussen	7	6.44	7.29	582.71	27.59	0.7954	0.2631	97.00	3.00	5.00	n	37.00	37.67	NA	37.67	38.00	NA	0.02	0.01	0.27	5.32	0.03	200.33	1.20	0.27	5.41	0.03	200.33	1.20
PA	native	Y	Y	2	9	Spain	ES	Panticosa	Europe	42.757399	-0.236718	GarciaGonzalez	1645	5.97	5.00	1221.67	20.15	1.1278	0.0484	100.00	0.00	10.00	n	28.67	44.57	NA	28.67	44.57	NA	0.44	0.44	0.16	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00
PM	native	Y	N	NA	NA	CzechRepublic	CZ	Pruhonice	Europe	50.777600	14.892900	Munzbergova	333	6.88	6.85	659.50	34.63	0.8582	0.1092	73.00	21.60	10.40	m	39.00	43.67	NA	39.00	44.33	NA	0.11	0.13	0.41	7.58	0.13	295.67	5.11	0.41	7.58	0.13	295.67	5.11
RO_IS	native	Y	Y	2	9	Romania	RO	Isai	Europe	47.184917	27.556861	Oprea	148	9.74	8.69	570.20	44.81	0.6183	0.1465	76.25	22.50	20.00	m	133.33	93.33	NA	148.00	96.00	NA	-0.36	-0.43	0.78	24.77	0.39	3633.33	57.52	0.78	27.25	0.43	3633.33	57.52
SC	native	Y	Y	1	9	Ireland	IE	SlieveCarran	Europe	53.072270	-8.992320	Buckley	114	9.76	3.75	1334.67	22.70	1.0772	0.0768	98.75	2.75	6.25	n	56.57	67.43	65.71	60.00	70.86	70.86	0.18	0.17	0.25	4.20	0.03	254.29	1.63	0.25	4.45	0.03	254.29	1.63
SI	native	Y	Y	1	9	Finland	FI	Seili	Europe	60.236950	21.959783	Ramula	24	5.70	7.46	656.00	28.97	0.8767	0.2328	95.25	3.50	7.56	n	29.43	33.71	NA	36.86	40.57	NA	0.14	0.10	0.09	0.78	0.01	28.86	0.19	0.11	0.98	0.01	28.86	0.19
SW144	native	Y	Y	2	8	Switzerland	CH	mid_suitability	Europe	46.380910	7.067580	Baudraz	1725.5	3.90	5.93	1468.00	14.65	1.1410	0.0391	100.00	0.25	7.63	n	72.00	NA	NA	78.40	NA	NA	NA	NA	0.20	4.09	0.06	320.80	4.83	0.21	4.46	0.07	320.80	4.83
SW242	native	Y	Y	2	9	Switzerland	CH	high_suitability	Europe	46.445300	6.931455	Baudraz	1650.9	8.34	6.45	1282.80	13.32	1.0468	0.0708	61.25	26.00	4.13	m	20.00	NA	NA	26.60	NA	NA	NA	NA	0.19	5.03	0.03	121.80	0.73	0.23	6.62	0.04	121.80	0.73
SW729	native	Y	Y	2	8	Switzerland	CH	low_suitability	Europe	46.404780	7.061980	Baudraz	817.1	0.95	6.14	1137.40	9.62	1.1410	0.0391	80.00	21.25	35.00	n	22.22	NA	NA	28.44	NA	NA	NA	NA	0.10	1.03	0.01	28.89	0.31	0.10	1.31	0.01	28.89	0.31
SW748	native	Y	Y	2	8	Switzerland	CH	mid_low_suitability	Europe	46.368790	7.122764	Baudraz	1138.6	4.01	5.89	1445.60	14.97	1.1410	0.0391	100.00	0.00	10.00	n	27.20	NA	NA	40.80	NA	NA	NA	NA	0.08	1.24	0.01	51.47	0.33	0.10	1.89	0.01	51.47	0.33
SW890	native	Y	Y	2	8	Switzerland	CH	mid_high_suitability	Europe	46.258320	7.084545	Baudraz	1654.9	5.91	6.26	1264.17	13.70	1.1464	0.0380	78.33	0.00	22.67	n	15.45	NA	NA	24.18	NA	NA	NA	NA	0.08	1.11	0.00	26.73	0.11	0.12	1.73	0.01	26.73	0.11
TG	native	Y	N	NA	NA	Sweden	SE	Sweden	Europe	58.951835	17.616575	Ehlren	8	6.44	7.02	574.67	26.70	0.7901	0.2657	100.00	0.00	0.00	n	400.00	NA	NA	412.00	NA	NA	NA	NA	0.04	0.30	0.00	120.00	1.54	0.04	0.30	0.00	120.00	1.54
TJ	native	Y	N	NA	NA	Sweden	SE	Sweden	Europe	58.975639	17.563148	Ehlren	54	6.36	7.06	591.67	27.24	0.7901	0.2657	80.00	10.00	5.00	n	130.67	NA	NA	137.33	NA	NA	NA	NA	0.28	4.93	0.02	644.00	2.92	0.28	4.93	0.02	644.00	2.92
TNM	native	Y	Y	1	9	Ireland	IE	Donegal	Europe	55.245560	-7.617440	Kelly	21	9.42	3.51	1369.75	26.04	1.1146	0.0605	100.00	0.00	40.83	m	150.67	154.67	146.67	178.67	190.67	162.67	0.03	0.07	0.43	12.79	0.04	2200.00	6.71	0.49	14.86	0.05	2200.00	6.71
TO	native	Y	Y	3	9	Italy	IT	Torino	Europe	45.064965	7.589508	Lonati	287	12.50	7.22	848.00	37.68	0.8799	0.2218	80.75	14.25	10.00	m	132.80	127.00	150.00	139.20	138.00	179.00	-0.04	-0.01	0.34	7.03	0.07	968.00	9.32	0.34	7.03	0.07	968.00	9.32
TUE	native	Y	Y	2	8	Germany	DE	Tuebingen	Europe	48.539710	9.036808	Lampei_Bucharova	444	8.99	6.57	768.83	26.00	0.9278	0.0998	97.50	1.25	10.00	m	44.44	52.89	32.89	58.22	74.67	40.44	0.17	0.25	0.21	3.82	0.02	222.22	1.00	0.26	5.00	0.02	222.22	1.00
WIN	native	Y	Y	1	8	UK	GB	Southampton	Europe	51.043200	-1.308180	Catford	57	10.05	4.61	757.50	25.29	0.9329	0.1932	100.00	0.00	10.50	n	408.00	372.00	NA	432.00	372.00	NA	-0.09	-0.15	0.12	1.90	0.01	804.00	3.76	0.13	1.99	0.01	804.00	3.76
ZG	native	Y	Y	2	9	Spain	ES	Zaragoza	Europe	41.689520	-0.932392	Villellas	205	15.04	6.43	345.80	28.22	0.4376	0.2597	91.79	2.86	0.00	m	32.62	30.57	NA	58.15	38.29	NA	-0.06	-0.42	0.55	27.66	0.18	1523.38	9.48	0.57	48.07	0.31	1523.38	9.48
ZM	native	Y	N	NA	NA	CzechRepublic	CZ	Zdislava	Europe	49.995500	14.566600	Munzbergova	543	8.33	7.27	502.17	47.02	0.6826	0.0633	86.10	6.50	11.55	m	15.43	NA	NA	15.43	NA	NA	NA	NA	0.26	5.38	0.03	81.41	0.46	0.26	5.38	0.03	81.41	0.46
AL1	native	N	Y	3	9	Finland	FI	Aland	Europe	60.219961	19.540978	Laine	3	5.72	6.78	554.25	29.93	0.8351	0.2351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BR	native	N	Y	3	9	France	FR	Brittany	Europe	47.999429	-4.346250	Buckley	101.4	11.53	3.97	1088.67	34.51	1.0527	0.1417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FT	native	N	Y	1	9	Denmark	DK	Odense	Europe	55.619365	10.295065	Sherman	2	8.49	6.09	543.25	20.82	0.9002	0.1691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR2	native	N	Y	3	5	Greece	GR	Trikala	Europe	39.574084	21.766271	Smith	116.2	15.82	7.84	709.25	50.41	0.6709	0.5040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR3	native	N	Y	3	6	Greece	GR	Anilio	Europe	39.748025	21.207248	Smith	1472.4	8.36	6.55	894.25	35.50	0.8538	0.3616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GR4	native	N	Y	3	9	Greece	GR	Psathopyrgos	Europe	38.324317	21.879305	Smith	6.1	15.96	6.42	681.75	67.69	0.7550	0.4982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PR	native	N	Y	2	7	France	FR	Paris	Europe	48.852560	2.350411	Buckley	44.4	12.19	5.67	668.33	9.90	0.7971	0.2713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RCH	native	N	Y	1	24	Ireland	IE	Coolclough	Europe	52.144308	-8.948419	Buckley	100	9.96	3.70	1086.33	30.06	1.1068	0.0849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACR	non_native	Y	Y	2	8	USA	US	California	Nth_America	39.713150	-123.651770	Petry	445	11.48	4.35	1606.60	87.93	0.8780	0.6015	89.42	8.92	11.00	n	66.22	64.89	NA	113.33	133.78	NA	-0.02	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BHU	non_native	Y	Y	1	9	NewZealand	NZ	Lincoln	Australasia	-43.649957	172.456083	Groenteman	20	11.63	3.97	641.00	17.55	0.7869	0.2470	100.00	0.00	11.25	m	40.40	28.40	NA	57.20	46.00	NA	-0.35	-0.22	0.17	8.19	0.03	471.60	1.94	0.21	11.56	0.05	471.60	1.94
CP	non_native	Y	N	NA	NA	Australia	AU	CoombaPark	Australasia	-32.223500	152.451500	Vesk	9.5	18.26	3.67	1178.33	31.77	0.9485	0.1720	38.50	1.65	8.25	m	44.89	NA	NA	44.89	NA	NA	NA	NA	0.49	52.85	0.45	2348.89	19.95	0.49	52.85	0.45	2348.89	19.95
DP	non_native	Y	Y	1	9	Australia	AU	DuttonPark	Australasia	-27.498370	153.026020	SalgueroGomez_Dwyer	27	20.34	3.76	1212.33	46.13	0.8275	0.2475	33.73	63.13	0.00	m	27.20	18.20	NA	28.00	20.20	NA	-0.40	-0.33	0.28	5.80	0.07	157.87	2.02	0.28	5.98	0.08	157.87	2.02
GB	non_native	Y	Y	1	9	USA	US	Franklin	Nth_America	35.229100	-83.390250	Elderd	605	12.97	7.33	1568.25	11.90	1.0864	0.0770	93.75	1.88	8.13	m	21.05	19.79	21.89	33.47	38.95	54.32	-0.06	0.15	0.28	12.20	0.08	408.42	2.56	0.34	19.40	0.12	408.42	2.56
GH	non_native	Y	Y	1	9	Canada	CA	Guelph	Nth_America	43.534722	-80.211667	Caruso	335	6.85	10.13	926.50	17.59	0.9550	0.1500	82.00	0.00	5.00	n	80.00	128.00	NA	96.00	152.80	NA	0.47	0.46	0.23	2.47	0.02	213.60	1.41	0.24	3.00	0.02	213.60	1.41
HAS	non_native	Y	Y	2	8	USA	US	California	Nth_America	36.378650	-121.567240	Petry	467	12.73	4.00	705.00	90.80	0.6184	0.6677	80.83	1.17	16.28	n	35.64	36.67	NA	60.00	72.67	NA	0.03	0.19	0.07	0.73	0.00	43.64	0.26	0.07	1.22	0.01	43.64	0.26
HV	non_native	Y	Y	2	9	USA	US	Harvard	Nth_America	42.485660	-71.568700	Crone	126	8.62	9.41	1196.40	7.03	0.9558	0.1840	100.00	0.00	28.33	n	31.33	28.84	NA	36.00	30.95	NA	-0.08	-0.15	0.37	2.13	0.10	66.84	3.01	0.37	2.13	0.10	66.84	3.01
JSJ	non_native	Y	N	NA	NA	USA	US	California	Nth_America	33.808890	-116.776730	Petry	1641	12.22	6.01	701.50	78.31	0.5799	0.6036	22.00	6.54	18.99	n	28.24	32.71	NA	46.59	65.18	NA	0.15	0.34	0.54	33.93	0.22	1564.94	10.22	0.67	55.43	0.36	1564.94	10.22
NRM	non_native	Y	Y	2	8	USA	US	California	Nth_America	35.524350	-121.073780	Petry	19	13.54	2.08	548.33	94.97	0.3149	0.5822	91.66	5.38	11.94	n	22.80	20.60	NA	29.80	42.80	NA	-0.10	0.36	0.23	10.07	0.07	300.20	2.15	0.24	13.17	0.09	300.20	2.15
PC	non_native	Y	Y	2	8	USA	US	California	Nth_America	38.517701	-121.764322	Gremer	10	16.00	6.02	490.00	93.59	0.5055	0.7730	96.75	0.50	2.50	n	21.11	NA	NA	39.11	NA	NA	NA	NA	0.44	24.73	0.10	978.22	3.78	0.59	45.38	0.18	978.22	3.78
RO	non_native	Y	Y	1	8	Canada	CA	Rosedale	Nth_America	49.287420	-121.669560	Fraser	41	9.56	5.81	1841.33	48.17	1.0794	0.2982	100.00	0.00	12.50	m	8.44	8.44	NA	15.11	23.11	NA	0.00	0.42	0.62	38.65	0.25	3126.22	20.47	0.77	69.64	0.46	3126.22	20.47
RUSC	non_native	Y	N	NA	NA	USA	US	Houston	Nth_America	29.657240	-95.443850	Compagnoni	18	20.95	6.39	1215.50	22.72	0.9458	0.1010	98.46	0.00	17.69	m	39.38	31.69	9.00	52.31	40.31	10.33	-0.22	-0.26	0.39	39.54	0.13	2032.00	6.57	0.42	52.00	0.17	2032.00	6.57
STR	non_native	Y	N	NA	NA	USA	US	California	Nth_America	33.625950	-117.556760	Petry	276	17.07	4.23	372.50	93.56	0.3800	0.5849	91.25	0.00	27.50	n	112.00	101.00	NA	189.00	167.00	NA	-0.10	-0.12	0.40	8.30	0.03	1561.00	5.74	0.49	14.06	0.05	1561.00	5.74
TNC	non_native	Y	N	NA	NA	USA	US	Oregon	Nth_America	44.037750	-123.166500	Ferguson_Schultz	407	11.82	5.55	1281.60	69.75	0.8775	0.4769	71.25	26.00	0.00	m	108.00	98.00	NA	233.00	195.00	NA	-0.10	-0.18	0.58	8.37	0.07	1892.00	16.91	0.81	17.52	0.16	1892.00	16.91
TW	non_native	Y	Y	1	9	Australia	AU	Toowomba	Australasia	-27.581100	151.987840	SalgueroGomez_Dwyer	709	17.27	4.35	863.75	45.73	0.5767	0.1574	82.22	0.00	0.00	m	46.22	55.56	NA	48.00	60.00	NA	0.18	0.22	0.51	13.36	0.14	623.56	6.55	0.53	13.75	0.14	623.56	6.55
UC	non_native	Y	Y	1	9	Australia	AU	Canberra	Australasia	-35.234303	149.085050	Wandrag	616	13.22	5.35	713.25	15.72	0.6119	0.2631	58.75	35.00	10.13	m	25.00	53.50	NA	55.75	71.25	NA	0.76	0.25	0.26	7.86	0.11	438.25	6.39	0.33	17.53	0.26	438.25	6.39
UR	non_native	Y	Y	3	9	Australia	AU	Urquhart	Australasia	-37.190980	144.383590	Moore	462	12.37	4.65	792.25	29.98	0.7693	0.3782	65.00	5.25	19.00	m	24.22	18.22	NA	30.44	27.56	NA	-0.28	-0.10	0.18	20.33	0.11	618.89	3.23	0.18	25.55	0.13	618.89	3.23
VA	non_native	Y	Y	1	9	USA	US	Virginia	Nth_America	37.967365	-78.473958	Roach	156	13.26	8.43	1158.75	13.99	0.8994	0.1630	100.00	0.00	7.50	m	93.60	46.40	NA	110.40	47.20	NA	-0.70	-0.85	0.16	2.16	0.01	216.00	1.18	0.17	2.45	0.01	216.00	1.18
JR	non_native	N	Y	2	8	USA	US	JasperRidge	Nth_America	37.408000	-122.227500	Anderegg	175	14.01	3.59	578.00	90.27	0.6473	0.6264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTA	non_native	N	Y	1	9	Australia	AU	MountAnnan	Australasia	-34.070356	150.767857	Wardle	137	16.97	4.27	956.67	28.76	0.7139	0.1895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTM	non_native	N	Y	1	5	Australia	AU	PortMacquarie	Australasia	-31.449057	152.917848	Gooden	22	18.31	3.61	1515.50	35.22	1.0327	0.1331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SA	non_native	N	Y	3	9	SouthAfrica	ZA	Stellenbosch	Africa	-33.941583	18.873083	Catford	152.2	16.94	3.72	755.00	61.76	0.7572	0.4663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TK	non_native	N	Y	1	9	Japan	JP	Tokyo	Australasia	35.660655	139.684929	Shefferson	48	15.69	7.63	1487.75	45.46	1.0916	0.0868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UPH	non_native	N	Y	1	6	Australia	AU	UpperHunter	Australasia	-32.369456	150.694117	Gooden	111	17.73	5.18	627.60	35.06	0.4732	0.0831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OGC1	outgroup	N	Y	2	2	Spain	ES	Montserrat	Europe	41.611100	1.810600	Smith	652.4	11.73	6.46	740.60	22.38	0.7847	0.2443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OGM1	outgroup	N	Y	2	2	Romania	RO	HargitaMountains	Europe	46.344650	25.617017	Csergo	993.7	5.35	7.99	614.00	52.66	0.9998	0.0541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OGM2	outgroup	N	Y	2	2	Australia	AU	HookaPoint	Australasia	-34.487294	150.835912	Gooden	8.2	17.46	3.43	1181.67	30.10	1.0439	0.0929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OGM3	outgroup	N	Y	2	2	Australia	AU	Yeronga	Australasia	-27.510110	153.016902	Dwyer	7.3	20.35	3.78	1172.33	46.89	0.8165	0.2343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OGM5	outgroup	N	Y	2	2	Ireland	IE	Ballsbridge	Europe	53.334173	-6.245950	Smith	18	10.20	3.86	719.50	13.96	0.9787	0.1176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAT	cultivar	N	Y	3	9	NewZealand	NA	AgriTonic	Australasia	NA	NA	Groenteman	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCT	cultivar	N	Y	3	9	Ireland	NA	GoldCrop	Europe	NA	NA	Smith	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTP	cultivar	N	Y	3	9	NewZealand	NA	TonicPlantain	Australasia	NA	NA	Groenteman	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
